exercise,currency,count,notional
american,USD,6.1000E+01,7932863645
bermudan,CHF,5.0000E+00,144868810
bermudan,EUR,1.9960E+03,1.72525E+11
bermudan,GBP,4.8000E+02,50430829440
bermudan,JPY,6.4950E+03,4.79499E+11
bermudan,USD,4.5540E+03,6.11121E+11
european,CHF,9.2000E+01,3228649564
european,EUR,2.8005E+04,3.64006E+12
european,GBP,9.9120E+03,1.04291E+12
european,JPY,1.5106E+04,1.35047E+12
european,TRY,1.0000E+00,8153947
european,USD,5.2584E+04,6.90517E+12
